"section","np","x_over_c","eta","z_over_c","cp","surface","source"
"4","19","0.60018","0.8","0.04078","-0.181","upper","NASA Glenn ONERA M6 test 2308"
"4","18","0.65015","0.8","0.03711","-0.139","upper","NASA Glenn ONERA M6 test 2308"
"4","17","0.70977","0.8","0.03222","-0.097","upper","NASA Glenn ONERA M6 test 2308"
"4","16","0.78012","0.8","0.02562","-0.031","upper","NASA Glenn ONERA M6 test 2308"
"4","15","0.8501","0.8","0.01815","0.043","upper","NASA Glenn ONERA M6 test 2308"
"4","14","0.92005","0.8","0.01023","0.132","upper","NASA Glenn ONERA M6 test 2308"
"4","13","0.98498","0.8","0.00267","0.225","upper","NASA Glenn ONERA M6 test 2308"
"5","15","0.94977","0.9","-0.00731","0.15","lower","NASA Glenn ONERA M6 test 2308"
"5","14","0.84954","0.9","-0.01822","0.03","lower","NASA Glenn ONERA M6 test 2308"
"5","13","0.75003","0.9","-0.02851","-0.062","lower","NASA Glenn ONERA M6 test 2308"
"5","12","0.64988","0.9","-0.03713","-0.13","lower","NASA Glenn ONERA M6 test 2308"
"5","11","0.54983","0.9","-0.04397","-0.27","lower","NASA Glenn ONERA M6 test 2308"
"5","10","0.4499","0.9","-0.04814","-0.268","lower","NASA Glenn ONERA M6 test 2308"
"5","9","0.35016","0.9","-0.0488","-0.288","lower","NASA Glenn ONERA M6 test 2308"
"5","8","0.25012","0.9","-0.04646","-0.277","lower","NASA Glenn ONERA M6 test 2308"
"5","7","0.15054","0.9","-0.04081","-0.182","lower","NASA Glenn ONERA M6 test 2308"
"5","6","0.10029","0.9","-0.03625","-0.121","lower","NASA Glenn ONERA M6 test 2308"
"5","5","0.0655","0.9","-0.03203","-0.078","lower","NASA Glenn ONERA M6 test 2308"
"5","4","0.0403","0.9","-0.02788","-0.079","lower","NASA Glenn ONERA M6 test 2308"
"5","3","0.0203","0.9","-0.02282","-0.018","lower","NASA Glenn ONERA M6 test 2308"
"5","2","0.00587","0.9","-0.01314","0.562","lower","NASA Glenn ONERA M6 test 2308"
"5","1","0.00057","0.9","0.00379","0.726","upper","NASA Glenn ONERA M6 test 2308"
"5","45","0.00184","0.9","0.00727","-0.182","upper","NASA Glenn ONERA M6 test 2308"
"5","44","0.00626","0.9","0.01361","-0.181","upper","NASA Glenn ONERA M6 test 2308"
"5","43","0.01228","0.9","0.01873","-0.576","upper","NASA Glenn ONERA M6 test 2308"
"5","42","0.02006","0.9","0.02272","-0.985","upper","NASA Glenn ONERA M6 test 2308"
"5","41","0.02988","0.9","0.02581","-1.187","upper","NASA Glenn ONERA M6 test 2308"
"5","40","0.04966","0.9","0.02966","-1.194","upper","NASA Glenn ONERA M6 test 2308"
